iter	Passed	Remaining
0	4	4914
1	7	3533
2	8	2910
3	10	2594
4	11	2356
5	13	2182
6	14	2061
7	16	1992
8	18	2077
9	20	2041
10	21	1962
11	23	1895
12	24	1841
13	25	1794
14	26	1752
15	27	1709
16	29	1696
17	30	1685
18	32	1703
19	34	1701
20	35	1675
21	37	1662
22	38	1639
23	39	1616
24	40	1597
25	42	1587
26	43	1569
27	44	1552
28	45	1535
29	48	1574
30	50	1572
31	51	1559
32	52	1544
33	53	1531
34	55	1517
35	56	1512
36	57	1500
37	58	1489
38	60	1479
39	61	1469
40	64	1497
41	65	1497
42	66	1489
43	68	1479
44	69	1476
45	70	1467
46	71	1458
47	73	1449
48	74	1441
49	75	1433
50	77	1433
51	79	1444
52	80	1438
53	81	1430
54	83	1428
55	84	1421
56	85	1414
57	86	1408
58	87	1403
59	89	1397
60	90	1390
61	93	1407
62	94	1408
63	96	1406
64	97	1400
65	98	1394
66	99	1389
67	100	1383
68	102	1377
69	103	1371
70	104	1367
71	105	1361
72	108	1378
73	110	1379
74	111	1376
75	112	1373
76	114	1368
77	115	1363
78	116	1358
79	117	1353
80	118	1348
81	120	1343
82	120	1333
83	123	1349
84	125	1346
85	126	1342
86	127	1338
87	128	1333
88	129	1329
89	131	1325
90	132	1321
91	133	1317
92	134	1313
93	137	1327
94	139	1332
95	141	1328
96	142	1324
97	143	1320
98	144	1316
99	145	1313
100	147	1309
101	148	1305
102	149	1303
103	152	1314
104	154	1313
105	155	1309
106	156	1305
107	157	1302
108	158	1298
109	160	1294
110	161	1291
111	163	1294
112	164	1290
113	166	1297
114	168	1298
115	169	1295
116	170	1289
117	172	1286
118	173	1283
119	174	1279
120	175	1276
121	176	1271
122	177	1267
123	178	1264
124	180	1261
125	182	1268
126	183	1264
127	185	1261
128	186	1258
129	187	1255
130	188	1251
131	189	1249
132	191	1245
133	192	1242
134	193	1241
135	194	1238
136	198	1247
137	199	1244
138	200	1241
139	201	1238
140	202	1235
141	203	1230
142	204	1226
143	205	1224
144	207	1223
145	208	1221
146	211	1227
147	213	1228
148	214	1225
149	215	1223
150	217	1220
151	218	1217
152	219	1214
153	220	1212
154	221	1209
155	223	1207
156	224	1204
157	227	1211
158	228	1209
159	229	1207
160	230	1202
161	231	1199
162	233	1196
163	234	1195
164	235	1192
165	236	1189
166	237	1186
167	239	1184
168	242	1190
169	243	1188
170	244	1185
171	245	1183
172	247	1181
173	248	1179
174	249	1176
175	250	1173
176	251	1171
177	253	1168
178	254	1166
179	257	1173
180	258	1170
181	259	1168
182	261	1166
183	262	1164
184	263	1161
185	264	1158
186	266	1156
187	267	1154
188	268	1152
189	271	1155
190	272	1155
191	274	1155
192	275	1153
193	277	1151
194	278	1148
195	279	1147
196	280	1145
197	282	1142
198	283	1141
199	285	1143
200	288	1144
201	289	1142
202	290	1140
203	291	1137
204	292	1135
205	293	1133
206	295	1130
207	296	1128
208	297	1126
209	298	1123
210	301	1127
211	303	1126
212	304	1124
213	305	1122
214	306	1119
215	307	1117
216	309	1115
217	310	1113
218	311	1110
219	312	1108
220	313	1106
221	316	1110
222	318	1108
223	319	1107
224	320	1104
225	321	1102
226	323	1100
227	324	1098
228	325	1095
229	326	1093
230	327	1091
231	329	1089
232	332	1093
233	333	1091
234	334	1089
235	335	1086
236	336	1084
237	338	1082
238	339	1080
239	340	1077
240	341	1075
241	342	1073
242	343	1071
243	346	1074
244	348	1072
245	349	1070
246	350	1069
247	351	1067
248	353	1065
249	354	1062
250	355	1061
251	356	1059
252	358	1057
253	359	1055
254	362	1057
255	363	1055
256	364	1053
257	365	1051
258	366	1049
259	368	1047
260	369	1046
261	371	1045
262	372	1043
263	373	1041
264	376	1043
265	377	1042
266	378	1040
267	380	1038
268	381	1036
269	382	1034
270	383	1032
271	384	1030
272	386	1028
273	387	1026
274	388	1024
275	391	1026
276	392	1025
277	393	1023
278	395	1021
279	396	1019
280	397	1017
281	398	1015
282	400	1013
283	401	1011
284	402	1009
285	403	1008
286	406	1009
287	407	1008
288	409	1006
289	410	1004
290	411	1002
291	412	1001
292	414	999
293	415	997
294	416	995
295	417	993
296	420	996
297	422	995
298	423	993
299	424	991
300	426	989
301	427	987
302	428	985
303	429	983
304	431	982
305	432	980
306	433	979
307	436	979
308	437	977
309	438	975
310	439	974
311	440	972
312	442	970
313	443	968
314	444	966
315	445	964
316	446	962
317	448	961
318	451	962
319	452	961
320	453	959
321	454	957
322	455	955
323	457	953
324	458	951
325	459	950
326	460	948
327	461	946
328	463	945
329	465	945
330	467	944
331	468	942
332	469	940
333	470	938
334	471	936
335	473	934
336	474	932
337	475	931
338	476	929
339	479	931
340	481	930
341	482	928
342	483	926
343	484	924
344	486	922
345	487	921
346	488	919
347	489	917
348	490	915
349	491	913
350	494	915
351	496	914
352	498	912
353	499	910
354	500	909
355	501	907
356	502	905
357	503	903
358	505	901
359	506	900
360	507	898
361	510	899
362	511	897
363	512	895
364	513	894
365	515	892
366	516	890
367	517	888
368	518	887
369	519	885
370	521	883
371	522	882
372	525	882
373	526	881
374	527	879
375	528	877
376	529	875
377	531	873
378	532	872
379	533	870
380	534	869
381	536	867
382	538	868
383	540	867
384	541	865
385	543	863
386	544	862
387	545	860
388	546	858
389	548	857
390	549	856
391	550	854
392	552	853
393	555	853
394	556	852
395	557	850
396	558	848
397	559	846
398	561	845
399	562	843
400	563	841
401	564	840
402	566	838
403	569	840
404	570	838
405	571	836
406	573	835
407	574	833
408	575	831
409	576	829
410	577	828
411	579	826
412	580	824
413	581	823
414	584	823
415	585	822
416	587	820
417	588	819
418	589	817
419	590	815
420	591	813
421	593	812
422	594	810
423	595	808
424	596	807
425	599	807
426	600	806
427	602	804
428	603	803
429	604	801
430	605	799
431	606	797
432	608	796
433	609	795
434	611	793
435	613	794
436	615	793
437	616	791
438	618	789
439	619	788
440	620	786
441	621	784
442	622	783
443	623	781
444	625	779
445	626	777
446	629	778
447	630	777
448	632	775
449	633	773
450	634	772
451	635	770
452	636	769
453	638	767
454	639	765
455	640	764
456	643	764
457	645	764
458	647	762
459	648	761
460	650	760
461	652	759
462	654	758
463	655	757
464	658	758
465	660	756
466	661	755
467	663	753
468	664	752
469	665	750
470	666	748
471	668	747
472	669	745
473	670	743
474	671	742
475	672	740
476	674	739
477	675	737
478	676	735
479	678	735
480	680	734
481	681	732
482	682	730
483	684	729
484	685	727
485	687	727
486	689	726
487	690	724
488	692	723
489	693	721
490	694	719
491	695	718
492	696	716
493	698	715
494	699	713
495	700	711
496	704	712
497	706	712
498	707	710
499	708	708
500	710	707
501	711	705
502	712	704
503	713	702
504	715	700
505	717	700
506	719	699
507	721	699
508	724	698
509	726	698
510	728	697
511	730	696
512	734	697
513	737	697
514	739	696
515	741	695
516	743	694
517	746	694
518	749	694
519	751	693
520	753	692
521	754	691
522	757	690
523	758	688
524	761	688
525	762	687
526	763	685
527	764	683
528	766	682
529	767	680
530	768	678
531	769	677
532	770	675
533	771	673
534	773	671
535	776	672
536	777	670
537	779	669
538	780	667
539	781	665
540	782	664
541	784	662
542	785	660
543	786	659
544	787	657
545	792	658
546	794	657
547	795	656
548	797	654
549	798	653
550	800	652
551	802	651
552	806	652
553	808	650
554	810	649
555	811	648
556	813	647
557	815	645
558	816	644
559	818	643
560	821	643
561	823	641
562	825	640
563	826	639
564	828	637
565	829	636
566	831	635
567	833	633
568	836	634
569	838	632
570	840	631
571	842	630
572	843	628
573	845	627
574	847	626
575	849	624
576	852	624
577	854	623
578	855	622
579	857	620
580	859	619
581	860	618
582	862	616
583	865	616
584	867	615
585	869	613
586	872	614
587	874	613
588	877	612
589	879	611
590	883	611
591	887	611
592	890	611
593	893	610
594	895	609
595	897	608
596	900	607
597	905	608
598	907	607
599	909	606
600	911	605
601	913	603
602	916	603
603	920	603
604	923	602
605	925	601
606	928	601
607	933	601
608	935	600
609	939	600
610	942	600
611	944	599
612	952	601
613	954	599
614	957	599
615	959	598
616	966	599
617	968	598
618	971	597
619	974	597
620	976	595
621	981	596
622	984	595
623	985	594
624	987	592
625	989	591
626	991	589
627	992	588
628	994	586
629	1000	587
630	1002	585
631	1007	586
632	1010	585
633	1015	585
634	1017	584
635	1019	583
636	1021	582
637	1023	580
638	1025	579
639	1029	579
640	1031	577
641	1033	576
642	1036	575
643	1039	574
644	1045	575
645	1047	574
646	1049	572
647	1051	571
648	1053	569
649	1056	568
650	1059	568
651	1062	567
652	1064	565
653	1067	564
654	1069	563
655	1072	562
656	1076	562
657	1084	563
658	1086	562
659	1092	562
660	1094	561
661	1100	561
662	1102	560
663	1109	561
664	1112	560
665	1114	558
666	1117	557
667	1119	556
668	1124	556
669	1128	555
670	1130	554
671	1133	553
672	1135	551
673	1141	552
674	1143	550
675	1147	549
676	1149	548
677	1154	548
678	1156	546
679	1159	545
680	1162	544
681	1165	543
682	1172	544
683	1214	561
684	1218	560
685	1220	558
686	1222	557
687	1224	555
688	1226	553
689	1228	551
690	1230	550
691	1232	548
692	1234	546
693	1236	545
694	1238	543
695	1239	541
696	1241	539
697	1243	537
698	1245	536
699	1246	534
700	1248	532
701	1250	530
702	1252	529
703	1254	527
704	1255	525
705	1257	523
706	1259	521
707	1261	520
708	1265	519
709	1267	517
710	1269	515
711	1272	514
712	1282	516
713	1284	514
714	1286	512
715	1288	510
716	1309	516
717	1313	515
